"weights (top_left, top_right, bottom_right, bottom_left)","spec_weights (top_left, top_right, bottom_right, bottom_left)",center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
"[23, 0, 464, 0]","[0.0610079575596817, 0.0, 1.2307692307692308, 0.0]","(11.895277207392198, 31.989733059548254)","(0.1911452141647754, 1.23958932238193)","(160.12104448726436, 49.86377646319713)","(7.041184614296887e-05, 2.1927164962462414e-05)"
"[0, 0, 269, 0]","[0.0, 0.0, 0.8302469135802469, 0.0]","(12.58364312267658, 35.089219330855016)","(0.24646049197184214, 1.3111238204175006)","(50.83962355412446, 46.027390445129285)","(3.0268599223944318e-05, 2.7403519879025495e-05)"
"[0, 0, 310, 16]","[0.0, 0.0, 0.9567901234567902, 0.04938271604938271]","(13.220858895705522, 36.015337423312886)","(0.2600182743767132, 1.3467437470504957)","(52.94761752418231, 50.8898716549362)","(3.152364440692534e-05, 3.029851564580011e-05)"
"[0, 0, 249, 0]","[0.0, 0.0, 0.9431818181818182, 0.0]","(9.967871485943775, 35.83132530120482)","(0.19080577629667606, 1.6586345381526104)","(57.93138820341608, 30.770052095933934)","(5.195006546593068e-05, 2.7593093663852602e-05)"
"[0, 0, 164, 0]","[0.0, 0.0, 0.9111111111111111, 0.0]","(6.853658536585366, 35.76219512195122)","(0.12454592631032693, 2.48301393728223)","(52.10808298631766, 6.490779298036883)","(0.00010051713539027327, 1.25207933989909e-05)"
"[0, 0, 210, 0]","[0.0, 0.0, 0.6730769230769231, 0.0]","(11.32857142857143, 33.7047619047619)","(0.21975683890577508, 1.3081904761904761)","(43.769977324263046, 33.534897959183674)","(2.810264199916215e-05, 2.153117934797193e-05)"
"[0, 0, 329, 0]","[0.0, 0.0, 0.8726790450928382, 0.0]","(11.52887537993921, 38.328267477203646)","(0.18471711192875806, 1.4931306990881459)","(84.29953529623708, 50.267403294500234)","(3.7069992443588695e-05, 2.210465637488665e-05)"
"[0, 0, 244, 0]","[0.0, 0.0, 0.7327327327327328, 0.0]","(10.87704918032787, 36.72540983606557)","(0.1732815645671556, 1.623882265275708)","(89.95328876646063, 25.443899489384574)","(5.054816412996311e-05, 1.4297891996309514e-05)"
"[0, 0, 307, 15]","[0.0, 0.0, 0.9839743589743589, 0.04807692307692308]","(12.70496894409938, 35.2639751552795)","(0.24904189242764638, 1.37055900621118)","(55.20671463292311, 43.91606226611628)","(3.544563264872714e-05, 2.819643626348072e-05)"
"[0, 0, 335, 0]","[0.0, 0.0, 1.006006006006006, 0.0]","(11.316417910447761, 34.244776119402985)","(0.1809897879025923, 1.5111261872455903)","(203.35501002450434, 33.21331254176877)","(0.00011427289167888189, 1.8663819818971008e-05)"
"[0, 0, 396, 0]","[0.0, 0.0, 1.32, 0.0]","(12.025252525252526, 29.5)","(0.2345798409628197, 1.1875)","(101.18939393939394, 43.84279665340271)","(7.027041245791246e-05, 3.044638656486299e-05)"
